spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,Label,inherit,viagra,password,num_char,line_breaks,format,Content,exclaim_subj,urgent_subj,exclaim_mess,number
0,0,1,0,1,2012-01-04T13:19:16Z,0,0,0,no,0,0,0,21.705,551,1,AAAA,0,0,8,small
0,0,1,0,0,2012-02-16T20:10:06Z,0,0,0,no,0,0,0,7.011,183,1,BBBB,0,0,1,big
1,0,1,4,0,2012-01-04T15:36:23Z,0,2,0,no,0,0,0,0.631,28,0,AAAA,0,0,2,none
0,0,1,0,0,2012-01-04T17:49:52Z,0,0,0,no,0,0,0,2.454,61,0,AAAA,0,0,1,small
0,0,1,0,0,2012-01-27T09:34:45Z,0,0,9,no,0,0,1,41.623,1088,1,AAAA,0,0,43,small
0,0,1,0,0,2012-01-17T17:31:57Z,0,0,0,no,0,0,0,0.057,5,0,AAAA,0,0,0,small
0,0,1,0,0,2012-03-18T04:18:55Z,0,0,0,no,0,0,0,0.809,17,0,AAAA,0,0,0,small
0,0,1,0,1,2012-03-31T13:58:56Z,0,0,0,no,0,0,0,5.229,88,1,AAAA,0,0,2,small
0,0,1,1,1,2012-01-11T01:57:54Z,0,0,0,no,0,0,0,9.277,242,1,BBBB,1,0,22,small
0,0,1,0,0,2012-01-07T19:29:16Z,0,0,23,no,0,0,0,17.17,578,1,BBBB,0,0,3,small
0,0,1,0,0,2012-02-23T00:57:02Z,0,0,4,no,0,0,0,64.401,1167,1,BBBB,0,0,13,small
0,0,1,0,0,2012-02-04T23:26:09Z,0,0,0,no,0,0,2,10.368,198,1,BBBB,0,0,1,big
1,0,1,0,0,2012-01-24T16:15:56Z,0,0,3,yes,0,0,0,42.793,712,1,BBBB,0,0,2,big
1,1,1,0,0,2012-02-09T02:22:46Z,0,2,2,no,0,0,0,0.451,24,0,BBBB,0,0,2,small
0,0,1,0,0,2012-03-09T18:46:12Z,0,0,0,no,0,0,0,29.233,604,1,BBBB,0,0,21,small
0,0,1,0,1,2012-01-12T16:17:53Z,0,0,0,no,0,0,0,9.794,197,1,BBBB,0,0,10,small
0,0,1,0,1,2012-01-31T19:44:22Z,0,0,0,no,0,0,0,2.139,60,1,BBBB,0,0,0,small
1,0,1,0,0,2012-03-21T02:00:30Z,0,1,0,no,0,0,0,0.13,5,0,BBBB,0,0,0,none
0,0,1,1,1,2012-01-03T19:39:06Z,0,0,0,no,0,0,8,4.945,120,1,AAAA,0,0,2,small
0,1,1,4,0,2012-03-29T00:48:08Z,0,0,2,no,0,0,0,11.533,291,1,AAAA,0,0,4,small
0,0,1,0,0,2012-01-09T15:04:18Z,0,0,0,no,0,0,0,5.682,87,1,AAAA,0,0,0,small
0,0,1,0,0,2012-01-14T10:07:03Z,0,0,0,no,0,0,0,6.768,81,1,AAAA,0,0,3,small
0,0,1,0,1,2012-03-24T15:00:57Z,0,0,0,no,0,0,0,0.086,5,0,AAAA,1,0,0,none
0,0,1,2,1,2012-01-12T21:43:42Z,0,0,0,no,0,0,0,3.07,65,1,AAAA,0,0,0,small
0,0,1,0,0,2012-03-02T19:05:22Z,0,0,2,no,0,0,0,26.52,692,1,AAAA,1,0,7,big
0,0,1,0,0,2012-02-16T04:01:40Z,0,0,0,no,0,0,0,26.255,654,1,AAAA,0,0,1,small
0,0,1,0,1,2012-02-09T13:51:43Z,0,0,0,no,0,0,0,5.259,140,1,AAAA,0,0,8,small
0,1,1,5,0,2012-01-23T14:03:19Z,0,0,0,no,0,0,0,2.78,69,0,CCCC,0,0,1,small
0,0,1,0,1,2012-02-01T16:12:20Z,0,0,0,no,0,0,0,5.864,142,1,CCCC,0,0,6,small
0,1,1,0,0,2012-03-23T17:42:28Z,0,0,0,no,0,0,0,9.928,219,1,CCCC,0,0,4,small
0,0,1,0,0,2012-02-14T13:43:48Z,0,0,0,no,0,0,2,25.209,725,1,CCCC,0,0,2,small
0,0,1,0,0,2012-01-19T23:33:55Z,0,0,0,no,0,0,0,6.563,140,1,CCCC,0,0,2,big
0,0,1,0,0,2012-01-21T17:35:48Z,0,0,0,no,0,0,0,24.599,621,1,CCCC,0,0,1,small
0,0,1,0,0,2012-01-25T22:37:06Z,0,0,0,no,0,0,0,25.757,645,1,CCCC,0,0,1,small
0,1,1,0,0,2012-03-06T17:03:41Z,0,0,0,no,0,0,0,0.409,13,0,CCCC,0,0,1,small
0,0,1,0,1,2012-03-25T21:08:44Z,0,0,0,no,0,0,0,11.223,512,1,CCCC,0,0,9,big
0,0,1,0,0,2012-02-15T00:17:09Z,0,0,0,no,0,0,0,3.778,98,1,CCCC,0,0,0,small
0,0,1,0,0,2012-03-01T10:00:01Z,0,0,0,no,0,0,2,1.493,35,0,AAAA,0,0,1,none
0,0,1,0,0,2012-02-10T18:34:42Z,0,0,0,no,0,0,8,10.613,225,1,AAAA,0,0,9,big
0,0,1,0,1,2012-01-12T21:44:54Z,0,0,0,no,0,0,0,0.493,13,1,AAAA,0,0,0,none
